CPU,Memory,Committed VM,Free Physical Mem,Load Avg,Total Swap,Free swap,used swap,No of Read,Read Bytes,No of Writes,Write Bytes,Total disk space,Used disk space,Free disk space,File count,Total thread count,Daemon thread count,Peak thread count,Running thread count,Rx-bytes,RX-dropped,Rx-error,Rx-frames,Rx-overruns,Rx-packets,Speed,TX-Bytes,TX-Carrier,TX-Collisions,TX-Dropped,TX-Errors,TX-Overruns,TX-Packets
35,85,5444,1139,2.93,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,17923591,0,0,0,0,16646,-1,1922346,0,0,0,0,0,11248
46,86,5444,1084,2.93,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,19311041,0,0,0,0,17701,-1,1981399,0,0,0,0,0,11750
44,85,5444,1143,2.86,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,19904834,0,0,0,0,18185,-1,2034176,0,0,0,0,0,12005
37,85,5444,1167,2.79,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,21721479,0,0,0,0,19523,-1,2116792,0,0,0,0,0,12598
36,85,5444,1164,2.73,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,23264710,0,0,0,0,20636,-1,2176171,0,0,0,0,0,13141
21,85,5444,1163,2.59,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,23709878,0,0,0,0,20974,-1,2195009,0,0,0,0,0,13318
26,86,5444,1104,2.62,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,23829176,0,0,0,0,21074,-1,2202818,0,0,0,0,0,13382
30,86,5444,1064,2.65,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,23908729,0,0,0,0,21149,-1,2207973,0,0,0,0,0,13428
42,87,5444,1031,2.6,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,23964403,0,0,0,0,21217,-1,2216171,0,0,0,0,0,13476
33,87,5444,978,2.87,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,23987393,0,0,0,0,21246,-1,2225818,0,0,0,0,0,13516
44,87,5444,988,3.04,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,24574107,0,0,0,0,21823,-1,2300421,0,0,0,0,0,13950
46,87,5444,972,3.2,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,25379854,0,0,0,0,22481,-1,2353140,0,0,0,0,0,14397
30,88,5444,954,3.02,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,25787556,0,0,0,0,22859,-1,2394996,0,0,0,0,0,14665
37,88,5444,933,3.02,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,26517452,0,0,0,0,23391,-1,2423164,0,0,0,0,0,14990
26,88,5444,925,2.94,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,26685670,0,0,0,0,23532,-1,2437529,0,0,0,0,0,15085
31,89,5444,881,2.94,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,27479494,0,0,0,0,24186,-1,2484535,0,0,0,0,0,15415
39,89,5444,857,3.75,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,27750420,0,0,0,0,24410,-1,2504312,0,0,0,0,0,15567
35,90,5444,800,3.53,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,28181215,0,0,0,0,24769,-1,2535045,0,0,0,0,0,15802
41,90,5444,746,3.65,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,28348129,0,0,0,0,24978,-1,2572357,0,0,0,0,0,15951
40,90,5444,762,3.52,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,29074691,0,0,0,0,25537,-1,2607307,0,0,0,0,0,16277
30,90,5444,752,3.63,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,29194707,0,0,0,0,25699,-1,2636232,0,0,0,0,0,16413
36,90,5444,738,3.58,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,29929730,0,0,0,0,26302,-1,2693647,0,0,0,0,0,16804
37,91,5444,729,3.38,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,30832603,0,0,0,0,27023,-1,2744025,0,0,0,0,0,17233
